image_path,width,height,cxr_mean_intensity,cxr_std_intensity,cxr_edge_density,cxr_entropy
data\covid_ct_cxr\images\cxr_1.jpg,275,218,141.0277862548828,58.2464599609375,0.06902418682235197,7.747365927440586
data\covid_ct_cxr\images\cxr_101.jpg,375,642,120.72965240478516,43.3707160949707,0.00028245067497403945,7.332067466429088
data\covid_ct_cxr\images\cxr_105.jpg,277,337,148.4651641845703,51.204349517822266,0.019968076787110735,7.362270508354988
data\covid_ct_cxr\images\cxr_110.jpg,314,664,123.70735931396484,53.494789123535156,0.0011031386693269895,7.595593521040267
data\covid_ct_cxr\images\cxr_113.jpg,238,334,190.3699188232422,54.89897155761719,0.05262164746137976,6.717721670596122
data\covid_ct_cxr\images\cxr_116.jpg,660,711,147.27484130859375,50.9001350402832,0.017621361292247367,6.769656778878723
data\covid_ct_cxr\images\cxr_119.jpg,311,241,133.95449829101562,71.76811981201172,0.042587824045042764,7.444856895654618
data\covid_ct_cxr\images\cxr_121.jpg,595,495,123.57645416259766,58.98445510864258,0.02293183940242764,7.63666912928465
data\covid_ct_cxr\images\cxr_127.jpg,650,872,165.72021484375,63.053462982177734,0.01599329569513056,7.421015361581201
data\covid_ct_cxr\images\cxr_13.jpg,399,426,152.0705108642578,46.959651947021484,0.01896172355772059,7.287188803021174
data\covid_ct_cxr\images\cxr_136.jpg,741,592,135.9290771484375,44.52962875366211,0.0032643980012401065,7.340289363420814
data\covid_ct_cxr\images\cxr_14.jpg,288,658,140.28219604492188,57.5198974609375,0.03821555217831814,7.4843332560541365
data\covid_ct_cxr\images\cxr_144.jpg,408,367,147.63800048828125,60.824012756347656,0.0350016028209649,7.393852952235808
data\covid_ct_cxr\images\cxr_15.jpg,340,591,138.56141662597656,42.76463317871094,0.0019508310938588633,7.316264294565506
data\covid_ct_cxr\images\cxr_150.jpg,625,474,116.12762451171875,42.435829162597656,0.029829535864978902,7.391202277580696
data\covid_ct_cxr\images\cxr_169.jpg,787,390,172.7255401611328,64.85479736328125,0.029273775779493697,7.019916580416287
data\covid_ct_cxr\images\cxr_17.jpg,379,363,128.9565887451172,43.99309158325195,0.008082746389294721,7.359000804478651
data\covid_ct_cxr\images\cxr_175.jpg,360,372,162.75723266601562,50.502952575683594,0.019220430107526883,7.418465055568751
data\covid_ct_cxr\images\cxr_18.jpg,625,569,107.03463745117188,30.465007781982422,0.022172231985940247,6.7098574550665795
data\covid_ct_cxr\images\cxr_180.jpg,239,220,184.18817138671875,41.026390075683594,0.002111068847470521,7.101819083455127
data\covid_ct_cxr\images\cxr_186.jpg,218,231,123.68767547607422,48.281959533691406,0.024881845982763415,7.4928093773695315
data\covid_ct_cxr\images\cxr_195.jpg,275,218,141.0277862548828,58.2464599609375,0.06902418682235197,7.747365927440586
data\covid_ct_cxr\images\cxr_196.jpg,316,278,204.67544555664062,65.63986206054688,0.11030416173390402,6.299005499777666
data\covid_ct_cxr\images\cxr_197.jpg,692,621,203.0278778076172,46.32761001586914,0.00745348263568922,6.413593096906803
data\covid_ct_cxr\images\cxr_198.jpg,351,269,137.87689208984375,80.69208526611328,0.13294993592391363,6.970131591613127
data\covid_ct_cxr\images\cxr_199.jpg,722,1017,122.35034942626953,98.82857513427734,0.1164252036705644,6.604848452041265
data\covid_ct_cxr\images\cxr_2.jpg,660,711,147.27484130859375,50.9001350402832,0.017621361292247367,6.769656778878723
data\covid_ct_cxr\images\cxr_200.jpg,358,238,113.06610870361328,66.21623229980469,0.14401906013802168,6.715016977275548
data\covid_ct_cxr\images\cxr_201.jpg,335,259,155.5353240966797,69.72692108154297,0.1396069843831038,7.166100310881215
data\covid_ct_cxr\images\cxr_202.jpg,432,298,174.54049682617188,77.93426513671875,0.24052324136216754,7.275979361857542
data\covid_ct_cxr\images\cxr_203.jpg,392,298,46.41269302368164,59.8231086730957,0.14719730173948775,5.949541750099718
data\covid_ct_cxr\images\cxr_204.jpg,285,221,172.79092407226562,74.19188690185547,0.09910296102246567,7.033096086407527
data\covid_ct_cxr\images\cxr_205.jpg,317,424,154.0806427001953,71.71759033203125,0.1338089994643176,6.815133384234741
