veri,yapilandirma,F,P,k,G,sifreli_deger,ciphertext,tohum,epoch,auc,ci95_alt,ci95_ust,n,sure_s,auc_kat_ort,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19
akciğer grafisi (COVID-QU-Ex),F64_P16k3_G32,64,16,3.0,32,5379,1,0,5,0.9954928354542604,0.994485932413944,0.9963505942599418,6788,186.79680399992503,,0.9915761331723848,0.9995272471855304,0.9992472110950188
akciğer grafisi (COVID-QU-Ex),F64_G16,64,0,,16,4355,1,0,5,0.9950283867501334,0.9939754502978108,0.9959078864405132,6788,184.2189765999792,,0.9910416433332918,0.9995450022437712,0.9992790869423
akciğer grafisi (COVID-QU-Ex),F64_P32k2_G16,64,32,2.0,16,5379,1,0,5,0.9950187113829132,0.9939700707157436,0.9958960628037236,6788,186.82023780001327,,0.9910267099734102,0.9994837375373148,0.999259257200096
akciğer grafisi (COVID-QU-Ex),F64_P32k3_G16,64,32,3.0,16,5379,1,0,5,0.9951071744051894,0.9940753928586982,0.9959977562035474,6788,186.7971688999096,,0.9915680442691156,0.9993719392035588,0.9991358309542276
akciğer grafisi (COVID-QU-Ex),F64_P16k2_G16,64,16,2.0,16,4611,1,0,5,0.995036907957498,0.9939381955590726,0.9959429917797792,6788,186.9920803999994,,0.9908956282588948,0.999434569683726,0.999163629658252
akciğer grafisi (COVID-QU-Ex),F64_P16k3_G16,64,16,3.0,16,4611,1,0,5,0.9950283867501334,0.9939754502978108,0.9959078864405132,6788,186.79914639994968,,0.9910416433332918,0.9995450022437712,0.9992790869423
akciğer grafisi (COVID-QU-Ex),F32_G32,32,0,,32,2051,1,0,5,0.9942886209555808,0.993249524237131,0.995351631120414,6788,183.98612310003955,,0.9897810188699596,0.999114978635397,0.9991059936785748
akciğer grafisi (COVID-QU-Ex),F32_P32k2_G32,32,32,2.0,32,3075,1,0,5,0.9941243127048972,0.9930384633799272,0.9951318762982676,6788,186.859211999923,,0.989486914643404,0.9989821083643884,0.9989699653535488
akciğer grafisi (COVID-QU-Ex),F32_P32k3_G32,32,32,3.0,32,3075,1,0,5,0.9942886209555808,0.993249524237131,0.995351631120414,6788,186.6292422999395,,0.9897810188699596,0.999114978635397,0.9991059936785748
akciğer grafisi (COVID-QU-Ex),F32_P16k2_G32,32,16,2.0,32,2307,1,0,5,0.9942886209555808,0.993249524237131,0.995351631120414,6788,186.66804360004608,,0.9897810188699596,0.999114978635397,0.9991059936785748
akciğer grafisi (COVID-QU-Ex),F32_P16k3_G32,32,16,3.0,32,2307,1,0,5,0.9942886209555808,0.993249524237131,0.995351631120414,6788,186.4771844999632,,0.9897810188699596,0.999114978635397,0.9991059936785748
akciğer grafisi (COVID-QU-Ex),F32_P32k2_G16,32,32,2.0,16,2307,1,0,5,0.9936885293209308,0.9924595646461496,0.9947299499205616,6788,186.61732299998403,,0.9886274168191111,0.998829141708778,0.9989449465199264
akciğer grafisi (COVID-QU-Ex),F32_P32k3_G16,32,32,3.0,16,2307,1,0,5,0.9932289707116956,0.9919773463233452,0.994411031872,6788,186.65584699995816,,0.9874852221959506,0.9991737069049615,0.9986960554565611
akciğer grafisi (COVID-QU-Ex),F32_P16k2_G16,32,16,2.0,16,1539,1,0,5,0.9936945092327344,0.9925187804491143,0.9947816887875682,6788,186.5665596000617,,0.9887582911258508,0.9990724445398318,0.9986502802572678
akciğer grafisi (COVID-QU-Ex),F32_P16k3_G16,32,16,3.0,16,1539,1,0,5,0.9936841063344928,0.992544680836292,0.994809158418772,6788,186.8235100000165,,0.9886232686635889,0.9990265935652548,0.998660102466023
akciğer grafisi (COVID-QU-Ex),U128,0,0,,128,16384,2,0,5,0.9960802712533968,0.995156344639577,0.996905703270778,6788,180.6033463999629,,0.991870859622269,0.9996478254931418,0.9996575199664192
akciğer grafisi (COVID-QU-Ex),U48,0,0,,48,2304,1,0,5,0.9947401452034224,0.9937075133312168,0.995631226650637,6788,180.703751299996,,0.9900871527475308,0.999329600218524,0.9993736025359832
beyin MR (Cheng),tam_pencere,0,0,,224,50179,7,0,12,0.9921266252728196,0.9817052068816906,0.997931620543212,3064,235.0324548999779,0.9940636919411296,,,
beyin MR (Cheng),U64_pencere,0,0,,64,4099,1,0,12,0.9886265120998948,0.9734963166134816,0.9973674599112692,3064,187.6813962999732,0.9903943459164928,,,
beyin MR (Cheng),U90_pencere,0,0,,90,8103,1,0,12,0.9918920728899088,0.9804006219462066,0.998153279795054,3064,187.1251228000037,0.9936056741583832,,,
beyin MR (Cheng),tam,0,0,,224,50176,7,1,12,0.9834762809714916,0.9633674962435222,0.995606099794552,3064,233.26778059999924,0.9860033029487352,,,
beyin MR (Cheng),tam,0,0,,224,50176,7,2,12,0.9844174317090296,0.9660448139761464,0.9954943175176848,3064,188.54576630005613,0.9867430855727836,,,
beyin MR (Cheng),tam,0,0,,224,50176,7,3,12,0.9846627014546314,0.966450727885892,0.9949250951868376,3064,189.6509935000213,0.986594660043468,,,
beyin MR (Cheng),tam,0,0,,224,50176,7,4,12,0.9854111313820536,0.9676091757153912,0.9954318327670364,3064,188.09149239992257,0.98769395352858,,,
beyin MR (Cheng),tam_pencere,0,0,,224,50179,7,1,12,0.9917335013687548,0.9816991243716544,0.9976987076707796,3064,188.92831200000364,0.9930861386077072,,,
beyin MR (Cheng),tam_pencere,0,0,,224,50179,7,2,12,0.9893383570724906,0.9741162245343672,0.9976564642011334,3064,188.23255439999048,0.9914661732678748,,,
beyin MR (Cheng),tam_pencere,0,0,,224,50179,7,3,12,0.9908308204230856,0.97905252276778,0.997623573952178,3064,188.1759855999844,0.9920791135577404,,,
beyin MR (Cheng),tam_pencere,0,0,,224,50179,7,4,12,0.9903325460084804,0.9755345678577128,0.9982791856533456,3064,188.2200308999745,0.9922148481489772,,,
beyin MR (Cheng),F32_G16,32,0,,16,1283,1,1,12,0.991636744425614,0.9845492551656696,0.9967463371072854,3064,189.917332299985,0.9925318816049712,,,
beyin MR (Cheng),F32_G16,32,0,,16,1283,1,2,12,0.9930245004812416,0.9870117744965906,0.9970501167633334,3064,189.9418119000038,0.994299439472398,,,
beyin MR (Cheng),F32_G16,32,0,,16,1283,1,3,12,0.9905843628495488,0.9820737938706664,0.9964461530099414,3064,234.6818089999724,0.9918534398733684,,,
beyin MR (Cheng),F32_G16,32,0,,16,1283,1,4,12,0.9917029772695188,0.9840187429302002,0.99653673049227,3064,188.03273759991865,0.9928958053718808,,,
beyin MR (Cheng),F64_G32,64,0,,32,5123,1,1,12,0.9934424170175136,0.9874930962129718,0.9974315897893968,3064,187.8276728000492,0.9939825646372704,,,
beyin MR (Cheng),F64_G32,64,0,,32,5123,1,2,12,0.9941694855596728,0.9897028678919022,0.997365934302608,3064,188.0863857000368,0.9949428169209829,,,
