butce,odak_payi_hedef,yapilandirma,F,G,sifreli_deger,odak_payi,veri,model,auc_ort,auc_std,tohum_sayisi
2048,0.0,U45,0,45,2025,0.0,beyin MR (Cheng),C,0.850979806522198,,1
2048,0.0,U45,0,45,2025,0.0,beyin MR (Cheng),D,0.8674945482079383,,1
2048,0.25,F22_G39,22,39,2008,0.2410358565737052,beyin MR (Cheng),C,0.8871024169042214,,1
2048,0.25,F22_G39,22,39,2008,0.2410358565737052,beyin MR (Cheng),D,0.9288584412310068,,1
2048,0.5,F32_G31,32,31,1988,0.5150905432595574,beyin MR (Cheng),C,0.8843960346647468,,1
2048,0.5,F32_G31,32,31,1988,0.5150905432595574,beyin MR (Cheng),D,0.9387095337249236,,1
2048,0.75,F39_G22,39,22,2008,0.7574701195219123,beyin MR (Cheng),C,0.8891794702059506,,1
2048,0.75,F39_G22,39,22,2008,0.7574701195219123,beyin MR (Cheng),D,0.9345572799631168,,1
2048,1.0,F45,45,0,2028,0.9985207100591716,beyin MR (Cheng),C,0.8078883027465368,,1
2048,1.0,F45,45,0,2028,0.9985207100591716,beyin MR (Cheng),D,0.8697422443477261,,1
