yon,gorus,tohum,auc,ci95_alt,ci95_ust,n_egitim,n_test,gizli_alan_test
COVID-QU-Ex -> Kaggle,tam,0,0.9991001067669938,0.9982672899071191,0.9997880643627564,17571,1497,0.0
Kaggle -> COVID-QU-Ex,tam,0,0.9281766574992429,0.9208929482798174,0.9358609010465554,1215,4393,0.0
COVID-QU-Ex -> COVID-QU-Ex (referans),tam,0,0.9923203122731478,0.9900405310125592,0.9942475145630735,17571,4393,0.0
COVID-QU-Ex -> Kaggle,baglam,0,0.9977502669174844,0.9963488948332517,0.9988839780282024,17571,1497,0.23666344583034515
Kaggle -> COVID-QU-Ex,baglam,0,0.9344601797810603,0.9278953129149554,0.9412030650040394,1215,4393,0.23244811594486237
COVID-QU-Ex -> COVID-QU-Ex (referans),baglam,0,0.9838037341696015,0.9803818440005299,0.9869836236697525,17571,4393,0.23244811594486237
