size,rho_hedef,rho,sifreleme_s,sunucu_s,cozme_s,toplam_s,toplam_std,ciphertext_sayisi,sifreli_slot,yukleme_MB,hiz_kazanci_toplam,hiz_kazanci_sifreleme
64,0.01,0.0087890625,0.01057402000296861,1.0886508600087836,0.016884959978051485,1.1161098399898037,0.07644888152111468,1,64,0.855837,1.348154980814738,0.9254342205672386
64,0.05,0.0478515625,0.010179359978064895,1.4722665399778634,0.021595920016989113,1.5040418199729175,0.28284278793883644,1,256,0.855339,1.0004303204452707,0.961313872463118
64,0.1,0.09765625,0.016809239983558655,2.066661380021833,0.023507020017132164,2.1069776400225235,0.43539372171443286,1,512,0.855286,0.7141457086855981,0.5821536232025382
64,0.25,0.25,0.010312479990534484,1.3577178800012917,0.016213060053996742,1.384243420045823,0.02925131868864561,1,1024,0.85534,1.0870118782062075,0.9489046251426928
64,0.5,0.494384765625,0.009880780009552836,1.4560758999781682,0.015510700014419853,1.481467380002141,0.06347086440370235,1,2048,0.855128,1.0156747696438782,0.9903631039501808
64,0.75,0.738525390625,0.00998362002428621,1.5151119600050151,0.015426640049554408,1.5405222200788558,0.017882641826333673,1,4096,0.85613,0.9767395888918581,0.9801614981244514
64,0.9,0.908447265625,0.00998838001396507,1.496508919983171,0.015189400035887956,1.5216867000330239,0.004133435955979998,1,4096,0.855816,0.9888297242040291,0.9796943994950276
64,1.0,1.0,0.009785559959709644,1.479754259972833,0.01514921998605132,1.5046890399185942,0.012722130455993037,1,4096,0.856207,1.0,1.0
128,0.01,0.01031494140625,0.009150300011970102,1.1133925600443035,0.014935499988496304,1.13747836004477,0.011929608687579418,1,256,0.856089,2.5452287460832523,2.2608220454270875
128,0.05,0.05133056640625,0.009307559998705982,1.2911864400142803,0.015713980002328754,1.316207980015315,0.007895590735251007,1,1024,0.855994,2.1996087730754357,2.2226233290153234
128,0.1,0.09765625,0.00945720002055168,1.3858811599900946,0.015131319989450276,1.4104696800000966,0.01137900380796005,1,2048,0.854424,2.0526089011948034,2.187455054813039
128,0.25,0.25,0.010067120008170605,1.4975524000125007,0.015700580016709865,1.523320100037381,0.02987871485161015,1,4096,0.856169,1.900547770598274,2.0549273250486486
128,0.5,0.50543212890625,0.019757100008428098,2.289027539989911,0.015025000041350722,2.32380964003969,0.02101622913532945,2,8320,1.711137,1.2458604913886735,1.0470767461069126
128,0.75,0.75201416015625,0.020269880024716257,2.8450356599874795,0.015267359977588057,2.880572899989784,0.017037420901061164,2,16384,1.711887,1.0050579244301896,1.020588181287143
128,0.9,0.89361572265625,0.021356819989159705,2.8409830000251532,0.01584051998797804,2.8781803400022907,0.011623155668736063,2,16384,1.710815,1.0058934041746947,0.9686460811972082
128,1.0,1.0,0.02068719998933375,2.8591578599996863,0.015297560044564307,2.8951426200335844,0.024840530470880792,2,16384,1.711689,1.0,1.0
256,0.01,0.01031494140625,0.009375480050221086,1.3015421200077981,0.014927679998800158,1.3258452800568192,0.007796362209685109,1,1024,0.856108,8.009294719186606,8.669619005906918
256,0.05,0.0495758056640625,0.009736860007978975,1.4862186199985445,0.01536262002773583,1.5113181000342593,0.008548854766497183,1,4096,0.855747,7.026373600486126,8.34784930319329
256,0.1,0.1001129150390625,0.010765599994920194,1.581363119976595,0.015060579986311495,1.6071892999578268,0.0128672616077957,1,8192,0.855174,6.607240105628017,7.5501449126152895
256,0.25,0.25,0.020518899988383056,2.856454859976657,0.015363879967480898,2.8923376399325207,0.017647571398115045,2,16384,1.711618,3.6714543466181624,3.9613156689157933
256,0.5,0.4998931884765625,0.041587699996307494,5.415530019998551,0.015145919984206557,5.472263639979064,0.032212127508676705,4,32768,3.42332,1.9405288740909779,1.954468269226593
256,0.75,0.75201416015625,0.06900188003201038,8.743622180027888,0.01494533997029066,8.827569400030189,0.02213582675256298,7,49408,5.989325,1.2029455809184864,1.1779655857954994
256,0.9,0.9010162353515625,0.08097046001348644,10.512910240027121,0.015439300006255508,10.609320000046864,0.20466905628004567,8,59392,6.845762,1.0009204736939468,1.0038456002270406
256,1.0,1.0,0.08128184003289789,10.522682379977777,0.01512138000689447,10.61908560001757,0.03916269681528794,8,65536,6.845708,1.0,1.0
512,0.01,0.009922027587890625,0.009753433327811459,1.490964866670159,0.015097433351911604,1.515815733349882,0.003046408171785506,1,4096,0.856151,27.406127332022322,33.20189473900563
512,0.05,0.0495758056640625,0.020606333351073165,2.858242233361428,0.015178233346280953,2.894026800058782,0.011659579362560932,2,16384,1.711113,14.354614476695886,15.715191110263218
512,0.1,0.1001129150390625,0.0401061666974177,5.240349633386359,0.015606533347939452,5.296062333431716,0.0047637360258695385,4,26624,3.420946,7.844061565859832,8.074380908478993
512,0.25,0.25,0.08078049996402115,10.60044736667381,0.015302633284591138,10.696530499922423,0.1294608719713033,8,65536,6.843643,3.88374894087115,4.0087950289752765
512,0.5,0.4998931884765625,0.16305176665385565,20.77182196666642,0.015425466660720607,20.950299199980993,0.12812209521115725,16,131072,13.689951,1.9829138764809313,1.986071499497291
512,0.75,0.7486305236816406,0.2439691333565861,31.03011030005291,0.015001499947781364,31.28908093335728,0.1467364251505192,24,196608,20.541284,1.3277040347893718,1.3273501538433998
512,0.9,0.9010162353515625,0.29194140003528446,37.31863273330964,0.014895633367511133,37.625469766712435,0.03486293275902978,29,237568,24.812795,1.1041095103302279,1.1092379040957077
512,1.0,1.0,0.3238324666939055,41.203625000004344,0.015181533371408781,41.54263900006966,0.09716251168817705,32,262144,27.382801,1.0,1.0
