veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s
beyin MR (Cheng),C,F64_G32,odakli,5120,0,0.9223219123175644,0.9025625659795388,0.940085979131747,3064,22.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.417042675340042e-06,68.95687641022651,16.80391680006869
beyin MR (Cheng),D,F64_P32k2_G32,odakli,6147,0,0.9532092071225312,0.9359476291120986,0.9674810080826218,3064,6.6,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.013918297765315e-06,19.19582059018405,12.384524599998258
beyin MR (Cheng),D2,F64_P32k2_G32,odakli,6147,0,0.90286566894569,0.8821961879141851,0.9227602392653096,3064,16.6,0.01/1/0.01/1/1,0.001/0.001/0.001/0.001/0.001,,2.230576983119903e-06,8.485010330464094,13.16274230007548
beyin MR (Cheng),C,F64_P32k2_G32,odakli,6144,0,0.8970424299705826,0.871666082579627,0.9203794456665896,3064,6.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.88404067813508e-06,79.94914096201221,16.55617070000153
beyin MR (Cheng),D,F32_G16,odakli,1283,0,0.9471540540986618,0.9285239798634266,0.9625220192839372,3064,11.8,10/1/1/10/10,0.001/0.001/0.001/0.001/0.001,,1.919232192726384e-06,14.287146202836675,11.202559500001373
beyin MR (Cheng),D2,F32_G16,odakli,1283,0,0.9168852523548576,0.8963192110595043,0.9345678336940454,3064,20.0,1/0.01/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.931647120478885e-06,7.243442244866583,13.860958000062965
beyin MR (Cheng),C,F32_G16,odakli,1280,0,0.9505079337135964,0.9379330865256372,0.9637516502910874,3064,61.0,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.994247122245497e-06,41.97367355081498,25.16421959991567
beyin MR (Cheng),D,F64,odakli,4099,0,0.8635296169205965,0.833825227153715,0.8883802431618698,3064,7.6,10/10/10/10/100,0.001/0.001/0.001/0.001/0.0001,,7.345713015638466e-07,14.397050386999856,14.433448900002986
beyin MR (Cheng),D2,F64,odakli,4099,0,0.8500233500646561,0.830693388766339,0.8709306666513648,3064,21.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.760210140311358e-06,7.285078259668783,15.47411439998541
beyin MR (Cheng),C,F64,odakli,4096,0,0.8876562584156776,0.8633034373593635,0.909243978352492,3064,29.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.473037908679032e-06,52.40808813563954,17.549923100043088
beyin MR (Cheng),D,sabit,sabit,0,0,0.4707404467159042,0.4068320137118186,0.538896938478539,3064,6.8,0.0001/0.0001/0.0001/1/0.0001,0.001/0.001/0.001/0.001/0.001,,8.657606487272319e-08,0.0,7.610853199963458
beyin MR (Cheng),D2,sabit,sabit,0,0,0.4815348870358883,0.4215765087443066,0.5515928460071645,3064,5.6,0.01/0.01/0.0001/10/0.0001,0.001/0.001/0.001/0.001/0.001,,3.289285219199023e-08,0.0,8.869829599978402
akciğer grafisi (COVID-QU-Ex),D,U256,tam_orijinal,65536,0,0.9011385673765754,0.8950476748263092,0.9068036627920112,6788,18.0,0.0001,0.001,,4.91497498211757e-06,88.81988811103362,42.905858600046486
akciğer grafisi (COVID-QU-Ex),D2,U256,tam_orijinal,65536,0,0.9465134163590064,0.9416759994935614,0.950873830273292,6788,14.0,0.0001,0.001,,3.3209399799005723e-06,9.47418724373228,46.85084959992673
akciğer grafisi (COVID-QU-Ex),C,U256,tam_orijinal,65536,0,0.933664461419322,0.9285294278778744,0.9377252637238708,6788,27.0,0.01,0.001,,4.704434558355786e-06,58.20844407375672,50.08721529995091
akciğer grafisi (COVID-QU-Ex),D,tam,tam_224,50176,0,0.8891921994397899,0.882800216985541,0.8948347788060291,6788,16.0,0.0001,0.001,,3.720517463445816e-06,129.12476030340693,35.14753139996901
