veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,sinirda,aktarim_hatasi,en_buyuk_nokta_carpim,sure_s
beyin MR (Cheng),D,U512,tam_orijinal,262144,0,0.8751478048397985,0.8501863313071958,0.89669032349321,3064,25.4,100/100/10/100/100,wd,1.1608465824153311e-06,195.5349743276776,509.1101651999634
beyin MR (Cheng),D2,U512,tam_orijinal,262144,0,0.881884784629773,0.858953317808642,0.9026817357311796,3064,21.6,1/0.01/1/1/0.0001,,2.0896451875529465e-06,6.804977247464155,178.13532769994345
beyin MR (Cheng),D,tam,tam_224,50176,0,0.8684050575838343,0.8392083262285679,0.8936090527028777,3064,26.6,100/100/10/100/10,wd,8.424220929725834e-07,46.69878783643729,104.99326480005402
beyin MR (Cheng),D2,tam,tam_224,50176,0,0.8722842058494732,0.8481649807616143,0.893927030426707,3064,11.8,1/1/0.01/0.0001/0.01,,1.9438452136810724e-06,7.795007727053275,35.83321359998081
beyin MR (Cheng),D,U90,es_ornekli,8100,0,0.8805389337720007,0.8544031007039303,0.9026859936786472,3064,5.8,10/10/10/10/10,,1.1586872048496843e-06,14.412237004565648,20.467281499993987
beyin MR (Cheng),D2,U90,es_ornekli,8100,0,0.8613562988531797,0.8349640034349431,0.8858075110825886,3064,6.6,1/0.0001/0.01/0.0001/0.0001,,1.5922816585245414e-06,7.781996625982845,15.536168699967675
