veri,sinif,akciger (gizli),kenar cerceve,akciger ustu,akciger alti,akcigerler arasi,yanlar,n,bos_cam,toplam,saldirgan_auc,tumor (gizli),tumor cevresi,beynin geri kalani,arka plan
covidqu,COVID-19,0.3357140368495423,0.2734747069816177,0.03109072254637095,0.031673513706174654,0.14672393591787952,0.18132308352058038,208,0,0.9999999995221656,0.975255886505821,,,,
covidqu,Non-COVID,0.26204549925560927,0.27846021306275126,0.03731433372452022,0.052952319777327304,0.16342625529247912,0.2058013740262419,199,0,0.999999995138929,0.975255886505821,,,,
covidqu,Normal,0.28070741185406944,0.26436320178867007,0.023887404305812144,0.056838264766057536,0.2226315964920533,0.15157212202142867,193,0,1.0000000012280912,0.975255886505821,,,,
covidqu,hepsi,0.29358684084067743,0.27219736566146213,0.030837819553077375,0.046825645977369275,0.1766805026618143,0.179871823922731,600,0,0.9999999986171315,0.975255886505821,,,,
brain,glioma,,,,,,,287,0,0.9999999986450134,0.9348591696454136,0.030511766874101346,0.09661116802851785,0.413799504149147,0.4590775595932472
brain,meningioma,,,,,,,166,0,0.999999999362591,0.9348591696454136,0.01971358424938477,0.06490804175009492,0.4461609807583582,0.4692173926047532
brain,pituitary,,,,,,,190,0,0.9999999937601388,0.9348591696454136,0.026890393969063696,0.1381900578737259,0.7270725482388547,0.1078469936784945
brain,hepsi,,,,,,,643,0,0.9999999973868356,0.9348591696454136,0.026653976566698382,0.10071267675071276,0.5147231176704122,0.3579102263990123
