size,ornek,rho,maks_mutlak_hata,toplam_s
64,"beyin MR, tümör maskesi",0.017578125,1.4292452734099292e-06,1.2924285000772215
64,"akciğer grafisi, akciğer maskesi",0.19970703125,3.0163978715913586e-06,1.6890304999542423
128,"beyin MR, tümör maskesi",0.0174560546875,1.274255225669485e-06,1.6842348000500351
128,"akciğer grafisi, akciğer maskesi",0.19842529296875,4.121213843688576e-06,1.9484534000512213
