veri,model,temsil,n,maks_mutlak_logit_hatasi,ort_mutlak_logit_hatasi,argmax_uyumu,auc_sifresiz,auc_sifreli,auc_farki,sure_s
beyin MR (Cheng),D,F64_G32,6,2.775828449674833e-05,1.5550039096812185e-05,1.0,0.9166666666666666,0.9166666666666666,0.0,26.261323499958962
beyin MR (Cheng),D2,F64_G32,6,1.7632676893697408e-05,7.047919226415755e-06,1.0,0.8333333333333334,0.8333333333333334,0.0,28.761779899941757
beyin MR (Cheng),D,U64,6,1.700502393786607e-05,7.766368249707063e-06,1.0,0.875,0.875,0.0,27.485934700001962
beyin MR (Cheng),D2,U64,6,2.2224743052134954e-05,8.091586808788484e-06,1.0,0.9583333333333334,0.9583333333333334,0.0,28.497629799996503
