veri,onisleme,auc_3sinif
covidqu,yok,0.9933641347003492
covidqu,histogram_esitleme,0.9933474074072514
covidqu,kenar_gizle_5,0.9929986030349852
covidqu,kenar_gizle_10,0.9904383415368297
covidqu,esitleme+kenar_10,0.9879909951205104
