size,rho_hedef,rho,tekrar,sifreleme_s,sunucu_s,cozme_s,toplam_s,ciphertext_sayisi,sifreli_slot,yukleme_MB
64,0.01,0.0087890625,0,0.009773900033906102,0.9614205999532714,0.015369400032795966,0.9865639000199735,1,64,0.855837
64,0.01,0.0087890625,1,0.009251700015738606,1.1073632000479847,0.01762489997781813,1.1342398000415415,1,64,
64,0.01,0.0087890625,2,0.012023200048133731,1.146109399967827,0.020108800032176077,1.1782414000481367,1,64,
64,0.01,0.0087890625,3,0.012522099888883531,1.0883827999932691,0.015433299937285483,1.1163381998194382,1,64,
64,0.01,0.0087890625,4,0.009299200028181076,1.139978300081566,0.01588839991018176,1.1651659000199288,1,64,
64,0.05,0.0478515625,0,0.01000519993249327,1.2151036999421194,0.017067900043912232,1.242176799918525,1,256,0.855339
64,0.05,0.0478515625,1,0.01017549994867295,1.4188276999630034,0.016492899972945452,1.4454960998846218,1,256,
64,0.05,0.0478515625,2,0.009622200042940676,1.266410700045526,0.01559990004170686,1.2916328001301736,1,256,
64,0.05,0.0478515625,3,0.009505399968475103,1.566850799950771,0.019548599957488477,1.5959047998767346,1,256,
64,0.05,0.0478515625,4,0.011588499997742474,1.8941397999878973,0.03927030006889254,1.9449986000545323,1,256,
64,0.1,0.09765625,0,0.02321829996071756,2.5997468000277877,0.02863469999283552,2.6515997999813408,1,512,0.855286
64,0.1,0.09765625,1,0.01861649996135384,2.4480724000604823,0.023131699999794364,2.4898206000216305,1,512,
64,0.1,0.09765625,2,0.015240499982610345,1.8898958000354469,0.021805700031109154,1.9269420000491664,1,512,
64,0.1,0.09765625,3,0.011440900037996471,1.6536344999913126,0.027257699985057116,1.6923331000143662,1,512,
64,0.1,0.09765625,4,0.01552999997511506,1.741957399994135,0.01670530007686466,1.7741927000461146,1,512,
64,0.25,0.25,0,0.013152599916793406,1.3920711999526247,0.015521200024522841,1.420744999893941,1,1024,0.85534
