veri,politika,adim,gizli_alan,auc,sabit_gizli_alan,gorunur_piksel,eklenen_yamalar,sure_dk,normalizasyon,hiz_kazanci_256,hiz_kazanci_512
brain,tamamen_gizli,0,1.0,0.5,1.0,0,,19.384024773334385,gorunur,1.0,1.0
brain,goruntu_roi,0,0.0156872691485225,0.9365224845600046,0.0,50176,,19.384024773334385,gorunur,7.858859475085045,24.20627314234932
brain,kanonik,0,0.3337265887838417,0.9210611152620292,0.3335857780612244,33438,,19.384024773334385,gorunur,2.826675255780354,2.9396044589807007
brain,kanonik_genis8,0,0.4386562410734123,0.9231525469401888,0.438655931122449,28166,,19.384024773334385,gorunur,2.1940049366823393,2.253149366998183
brain,kanonik_genis16,0,0.5500239158163264,0.9236924483435984,0.5500239158163265,22578,,19.384024773334385,gorunur,1.7296563704952408,1.8035367127147688
brain,kanonik_genis32,0,0.7912747130102042,0.9011823870865566,0.7912747130102041,10473,,19.384024773334385,gorunur,1.1422003541664008,1.2564965060526276
brain,kanonik_genis64,0,0.9998405612244898,0.7654527652825921,0.9998405612244898,8,,19.384024773334385,gorunur,1.000001481297995,1.0001519057463821
brain,sizinti_gudumlu,1,0.3943708503765036,0.9099198305999326,0.3942323022959184,30395,49 41 46 48,19.384024773334385,gorunur,2.4228783807665626,2.4994905226852846
brain,sizinti_gudumlu,2,0.4568705714206367,0.9012928855157696,0.4567323022959184,27259,8 9 55 16,19.384024773334385,gorunur,2.1119508300441243,2.165374296695409
brain,sizinti_gudumlu,3,0.5091411977893799,0.899111755198217,0.5090082908163265,24636,15 17 32 38,19.384024773334385,gorunur,1.8978448763862952,1.9471870782616574
brain,sizinti_gudumlu,4,0.5716411977893799,0.9046779220509472,0.5715082908163265,21500,62 63 24 54,19.384024773334385,gorunur,1.6522336564569184,1.7358246214851973
brain,sizinti_gudumlu,5,0.6308919818413368,0.8979832295367854,0.6307597257653061,18527,40 14 52 23,19.384024773334385,gorunur,1.4716767876342098,1.5738666980219858
brain,sizinti_gudumlu,6,0.6925139837476593,0.8961867364447066,0.6923828125,15435,50 39 47 58,19.384024773334385,gorunur,1.3214849059217475,1.4346521357367559
brain,sizinti_gudumlu,7,0.741182669972149,0.9035036825286508,0.7410514987244898,12993,31 57 53 30,19.384024773334385,gorunur,1.2229150486528833,1.3409714478815187
brain,sizinti_gudumlu,8,0.7973323946365096,0.8915193548657777,0.797233737244898,10174,22 7 56 33,19.384024773334385,gorunur,1.13336980227435,1.2469962270499473
brain,sizinti_gudumlu,9,0.8406004642817467,0.8805434851946982,0.8405412946428571,8001,0 25 51 42,19.384024773334385,gorunur,1.0740588741782349,1.1831024581091847
brain,sizinti_gudumlu,10,0.8793616919454407,0.8784935035879157,0.8793048469387755,6056,1 13 3 45,19.384024773334385,gorunur,1.0259612055662364,1.1311800177866551
brain,sizinti_gudumlu,11,0.9279824287559112,0.8574276272604516,0.9279735331632653,3614,6 34 4 5,19.384024773334385,gorunur,1.0006695407165778,1.0736577812416048
brain,sizinti_gudumlu,12,0.981671700683578,0.8244085338646521,0.9816645408163264,920,2 59 10 60,19.384024773334385,gorunur,1.0001703114980485,1.0177699446961008
brain,sizinti_gudumlu,13,1.0,0.5,1.0,0,61 11 18 12,19.384024773334385,gorunur,1.0,1.0
brain,rastgele_0,2,0.4344848280243278,0.9122845136936362,0.4343710140306122,28381,,19.384024773334385,gorunur,2.2137021913518558,2.2742623087203104
brain,rastgele_0,4,0.5294660772308533,0.9095114656252772,0.5293566645408163,23615,,19.384024773334385,gorunur,1.8103298917413542,1.8730198013976929
brain,rastgele_0,6,0.6319000973493986,0.9095063660495528,0.6317960778061225,18475,,19.384024773334385,gorunur,1.4689455189025908,1.5713721515343086
brain,rastgele_0,8,0.7357978298969275,0.8878405555077459,0.7357302295918368,13260,,19.384024773334385,gorunur,1.233091595712212,1.3507302219967658
brain,rastgele_0,10,0.8185959295751736,0.9046260033365772,0.8185786033163265,9103,,19.384024773334385,gorunur,1.1034252720804938,1.2147563575006601
brain,rastgele_0,12,0.9375024796077064,0.8800665892289888,0.9375,3136,,19.384024773334385,gorunur,1.000580982260971,1.0633045219511548
brain,rastgele_0,13,1.0,0.5,1.0,0,,19.384024773334385,gorunur,1.0,1.0
brain,rastgele_1,2,0.4242946321948297,0.915161223017122,0.4242067920918367,28891,,19.384024773334385,gorunur,2.263340541357402,2.3275412375417046
brain,rastgele_1,4,0.5171538951165613,0.904553629779727,0.5170798788265306,24231,,19.384024773334385,gorunur,1.8623523182730004,1.917257461132456
brain,rastgele_1,6,0.6220180547675914,0.8944722724093945,0.6219507334183674,18969,,19.384024773334385,gorunur,1.496164238280559,1.596171462992192
brain,rastgele_1,8,0.7340809805162344,0.8855286453398808,0.734016262755102,13346,,19.384024773334385,gorunur,1.2363718889185418,1.3538715449066436
brain,rastgele_1,10,0.8499424483051384,0.8854953239686086,0.8499083227040817,7531,,19.384024773334385,gorunur,1.0620588187392073,1.1701572453217317
brain,rastgele_1,12,0.9375,0.8766282168417795,0.9375,3136,,19.384024773334385,gorunur,1.0005810053250075,1.0633071925808621
brain,rastgele_1,13,1.0,0.5,1.0,0,,19.384024773334385,gorunur,1.0,1.0
