veri,politika,adim,gizli_alan,auc,sabit_gizli_alan,gorunur_piksel,eklenen_yamalar,sure_dk,normalizasyon,hiz_kazanci_256,hiz_kazanci_512
brain,tamamen_gizli,0,1.0,0.49463640743306403,1.0,0,,1.6035075699988133,gorunur,1.0,1.0
brain,goruntu_roi,0,0.015687269148522552,0.93253084704789,0.0,50176,,1.6035075699988133,gorunur,8.645220880443754,24.2397073749701
brain,kanonik,0,0.33372658878384176,0.8716174018835746,0.33358577806122447,33438,,1.6035075699988133,gorunur,2.936150956800435,2.932681580963952
brain,kanonik_genis8,0,0.4386562410734123,0.8627321623818324,0.438655931122449,28166,,1.6035075699988133,gorunur,2.2620017139419546,2.2172157045140874
brain,kanonik_genis16,0,0.5500239158163264,0.8885755010485322,0.5500239158163265,22578,,1.6035075699988133,gorunur,1.7673192733089358,1.7827768639044397
brain,kanonik_genis32,0,0.7912747130102042,0.8823793009744776,0.7912747130102041,10473,,1.6035075699988133,gorunur,1.1570195512428652,1.2645452109481738
brain,kanonik_genis64,0,0.9998405612244898,0.7347548629196989,0.9998405612244898,8,,1.6035075699988133,gorunur,1.0000450079968308,1.0001344891600357
brain,sizinti_gudumlu,1,0.396178019467896,0.8505753104606422,0.3960658482142857,30303,41 49 32 33,1.6035075699988133,gorunur,2.493798330959494,2.4601902629631827
brain,sizinti_gudumlu,2,0.4524573036349066,0.8475066174486184,0.45234773596938777,27479,25 16 24 46,1.6035075699988133,gorunur,2.195694041262206,2.1482823112775593
brain,rastgele_0,2,0.43448482802432786,0.8750298196655436,0.43437101403061223,28381,,1.6035075699988133,gorunur,2.2828388432143356,2.238930189212688
