veri,sinif,akciger (gizli),kenar cerceve,akciger ustu,akciger alti,akcigerler arasi,yanlar,tumor (gizli),tumor cevresi,beynin geri kalani,arka plan
covidqu,COVID-19,0.333174343722371,0.27927366679964155,0.032079083248390816,0.031190514486682402,0.14109965014190842,0.18318274128250778,,,,
covidqu,Non-COVID,0.2724797368873304,0.2626419864857017,0.03705579510786987,0.048198251958103414,0.1778905166584493,0.20173370819445233,,,,
covidqu,Normal,0.2806527003491481,0.2518086417293456,0.022488501836710736,0.05789547148667314,0.2409151347035571,0.1462395509434719,,,,
covidqu,hepsi,0.29614950383702915,0.264922909764573,0.030644722327694277,0.04542150858303406,0.18540926840389146,0.17745208574924617,,,,
brain,glioma,,,,,,,0.030861516704437028,0.09721788476291589,0.41545486357387557,0.4564657353565668
brain,meningioma,,,,,,,0.01693524057313654,0.05761167988373883,0.4415004773581602,0.4779285091951669
brain,pituitary,,,,,,,0.028861208720818946,0.14661999454623775,0.7223381996154785,0.10218059643122711
brain,hepsi,,,,,,,0.026675170896220363,0.10159077877362781,0.5128598491665596,0.3573189920616882
