veri,hedef,gorus,tohum,gizli_alan_ort,auc,ci95_alt,ci95_ust,n,sure_s,normalizasyon,auc_kat_ort
beyin MR (Cheng),tümör tipi (3 sınıf),tam,0,0.0,0.9912727289530916,0.9813790532713156,0.9973589784501504,542,5.421696199919097,gorunur,0.9912727289530916
beyin MR (Cheng),tümör tipi (3 sınıf),baglam,0,0.016920022666454315,0.9883804123784419,0.9713528453023299,0.9975584364707963,542,21.124849700019695,gorunur,0.9883804123784419
