veri,yontem,temsil,sifreli_deger,ciphertext,sifreli_slot,tekrar,istemci_on_isleme_s,sifreleme_s,sunucu_s,cozme_s,toplam_s,uctan_uca_s,yukleme_MB,indirme_MB
beyin MR (Cheng),tam şifreleme,128 px,16384,2,16384,0,0.011218899977393448,0.08563929994124919,8.719505599932745,0.011563700041733682,8.816708599915728,8.827927499893121,1.71163,
beyin MR (Cheng),FoveaHE-D,F64_G32,5123,1,8192,0,0.04319290007697418,0.030689100036397576,4.327088000020012,0.016395200043916702,4.3741723001003265,4.417365200177301,0.855364,1.378471
beyin MR (Cheng),FoveaHE-D (PiROI.run),F64_G32,5123,1,8192,0,0.04319290007697418,0.03721480001695454,4.947304899920709,0.01990379998460412,5.004423499922268,5.047616399999242,0.856147,
beyin MR (Cheng),FoveaHE-D2,F64_G32,5123,1,8192,0,0.02446235006209463,0.032791599980555475,4.929323700023815,0.005079799913801253,4.967195099918172,4.991657449980266,0.855165,0.786873
beyin MR (Cheng),FoveaHE-D,U64,4096,1,4096,0,0.03413129999535158,0.02844840008765459,4.198184299981222,0.01074609998613596,4.237378800055012,4.271510100050364,0.85554,1.380804
beyin MR (Cheng),FoveaHE-D (PiROI.run),U64,4096,1,4096,0,0.03413129999535158,0.025490000029094517,4.003218299942091,0.010533499997109175,4.039241799968295,4.073373099963646,0.855795,
beyin MR (Cheng),FoveaHE-D2,U64,4096,1,4096,0,0.025080149993300438,0.017657399992458522,4.006497499998659,0.004330000025220215,4.028484900016338,4.053565050009638,0.855515,0.786873
