veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
akciğer grafisi (COVID-QU-Ex),11834,0,1,paket,0.010450300062075257,1,8192,855220,3,2.567214,17429,,
akciğer grafisi (COVID-QU-Ex),11853,0,3,paket,0.010597600019536912,1,8192,855830,2,1.711476,9128,,
akciğer grafisi (COVID-QU-Ex),11857,0,3,paket,0.010253299959003925,1,8192,855904,2,1.711476,14990,,
akciğer grafisi (COVID-QU-Ex),11883,0,2,paket,0.010291700018569827,1,8192,855266,2,1.711476,15388,,
akciğer grafisi (COVID-QU-Ex),11902,0,0,paket,0.01008529996033758,1,8192,855823,2,1.711476,11184,,
akciğer grafisi (COVID-QU-Ex),11915,0,1,paket,0.010106800007633865,1,8192,855293,2,1.711476,10397,,
akciğer grafisi (COVID-QU-Ex),11917,0,0,paket,0.010107000009156764,1,8192,855455,2,1.711476,13159,,
akciğer grafisi (COVID-QU-Ex),11942,0,4,paket,0.010262400028295815,1,8192,855559,3,2.567214,22383,,
akciğer grafisi (COVID-QU-Ex),11995,0,4,paket,0.010047099902294576,1,8192,855737,2,1.711476,15778,,
akciğer grafisi (COVID-QU-Ex),12001,0,2,paket,0.01010760001372546,1,8192,855594,3,2.567214,22559,,
akciğer grafisi (COVID-QU-Ex),12007,0,3,paket,0.010250200051814318,1,8192,855682,3,2.567214,20050,,
akciğer grafisi (COVID-QU-Ex),12010,0,2,paket,0.00982170004863292,1,8192,856118,2,1.711476,11788,,
akciğer grafisi (COVID-QU-Ex),12018,0,3,paket,0.01215369999408722,1,8192,855357,2,1.711476,11397,,
akciğer grafisi (COVID-QU-Ex),12089,0,2,paket,0.009902100078761578,1,8192,855362,2,1.711476,12857,,
akciğer grafisi (COVID-QU-Ex),12094,0,2,paket,0.009734599967487156,1,8192,855270,3,2.567214,16874,,
akciğer grafisi (COVID-QU-Ex),12098,0,3,paket,0.009927900042384863,1,8192,856308,2,1.711476,12384,,
akciğer grafisi (COVID-QU-Ex),12100,0,4,paket,0.010282499948516488,1,8192,854439,2,1.711476,11552,,
akciğer grafisi (COVID-QU-Ex),12109,0,1,paket,0.010071200085803866,1,8192,856040,2,1.711476,11296,,
akciğer grafisi (COVID-QU-Ex),12115,0,3,paket,0.010348400101065636,1,8192,855292,2,1.711476,8246,,
akciğer grafisi (COVID-QU-Ex),12131,0,2,paket,0.010284499963745475,1,8192,855057,2,1.711476,15504,,
akciğer grafisi (COVID-QU-Ex),12132,0,1,paket,0.010191699955612421,1,8192,855258,2,1.711476,15826,,
akciğer grafisi (COVID-QU-Ex),12140,0,1,paket,0.010074600111693144,1,8192,855281,2,1.711476,15976,,
akciğer grafisi (COVID-QU-Ex),12142,0,3,paket,0.010321600013412535,1,8192,855877,2,1.711476,15843,,
akciğer grafisi (COVID-QU-Ex),12150,0,0,paket,0.010927299968898296,1,8192,855748,3,2.567214,18764,,
akciğer grafisi (COVID-QU-Ex),12158,0,4,paket,0.010573199950158596,1,8192,855344,2,1.711476,10322,,
akciğer grafisi (COVID-QU-Ex),12161,0,2,paket,0.01117259997408837,1,8192,855987,2,1.711476,12941,,
akciğer grafisi (COVID-QU-Ex),12163,0,3,paket,0.00981259997934103,1,8192,855427,2,1.711476,9608,,
akciğer grafisi (COVID-QU-Ex),12203,0,3,paket,0.010531499981880188,1,8192,855718,1,0.855738,7315,,
akciğer grafisi (COVID-QU-Ex),12217,0,4,paket,0.010067999945022166,1,8192,855386,2,1.711476,13136,,
akciğer grafisi (COVID-QU-Ex),12224,0,2,paket,0.011167099932208657,1,8192,856015,2,1.711476,11414,,
akciğer grafisi (COVID-QU-Ex),12233,0,2,paket,0.010160999954678118,1,8192,855280,3,2.567214,22979,,
akciğer grafisi (COVID-QU-Ex),12237,0,3,paket,0.0104910999070853,1,8192,855209,2,1.711476,14864,,
akciğer grafisi (COVID-QU-Ex),12259,0,4,paket,0.010018799919635057,1,8192,855828,2,1.711476,13080,,
akciğer grafisi (COVID-QU-Ex),12260,0,2,paket,0.010103399981744587,1,8192,854896,2,1.711476,12945,,
akciğer grafisi (COVID-QU-Ex),12264,0,4,paket,0.010264200042001903,1,8192,856003,3,2.567214,19146,,
akciğer grafisi (COVID-QU-Ex),12274,0,1,paket,0.010386499925516546,1,8192,855922,3,2.567214,19621,,
akciğer grafisi (COVID-QU-Ex),12286,0,1,paket,0.01021710003260523,1,8192,856036,1,0.855738,6048,,
akciğer grafisi (COVID-QU-Ex),12311,0,2,paket,0.010354700032621622,1,8192,855898,2,1.711476,10430,,
akciğer grafisi (COVID-QU-Ex),12329,0,2,paket,0.01028829999268055,1,8192,855289,3,2.567214,17030,,
akciğer grafisi (COVID-QU-Ex),12331,0,1,paket,0.00992690003477037,1,8192,855318,3,2.567214,17587,,
akciğer grafisi (COVID-QU-Ex),12339,0,0,paket,0.010049500036984682,1,8192,856150,3,2.567214,20883,,
akciğer grafisi (COVID-QU-Ex),12345,0,2,paket,0.010301399976015091,1,8192,855699,2,1.711476,15905,,
akciğer grafisi (COVID-QU-Ex),12346,0,4,paket,0.01015940005891025,1,8192,855315,2,1.711476,12222,,
akciğer grafisi (COVID-QU-Ex),12356,0,0,paket,0.009995599975809455,1,8192,855480,3,2.567214,17617,,
akciğer grafisi (COVID-QU-Ex),12369,0,3,paket,0.009995099972002208,1,8192,856125,2,1.711476,16040,,
akciğer grafisi (COVID-QU-Ex),12380,0,2,paket,0.010023899958468974,1,8192,856199,2,1.711476,13288,,
akciğer grafisi (COVID-QU-Ex),12382,0,2,paket,0.0106423000106588,1,8192,855374,2,1.711476,8287,,
akciğer grafisi (COVID-QU-Ex),12399,0,4,paket,0.010013899998739362,1,8192,855441,2,1.711476,15145,,
akciğer grafisi (COVID-QU-Ex),12422,0,0,paket,0.01002889999654144,1,8192,856088,2,1.711476,15679,,
akciğer grafisi (COVID-QU-Ex),12430,0,4,paket,0.009916499955579638,1,8192,855543,2,1.711476,14969,,
akciğer grafisi (COVID-QU-Ex),12434,0,4,paket,0.009966099984012544,1,8192,856050,2,1.711476,11405,,
akciğer grafisi (COVID-QU-Ex),12442,0,3,paket,0.009974299930036068,1,8192,855770,2,1.711476,14768,,
akciğer grafisi (COVID-QU-Ex),12448,0,3,paket,0.010242499993182719,1,8192,854462,2,1.711476,14573,,
akciğer grafisi (COVID-QU-Ex),12467,0,0,paket,0.010272199986502528,1,8192,856133,2,1.711476,14064,,
akciğer grafisi (COVID-QU-Ex),12471,0,0,paket,0.010452899965457618,1,8192,855863,2,1.711476,12657,,
akciğer grafisi (COVID-QU-Ex),12496,0,3,paket,0.010103700100444257,1,8192,855824,2,1.711476,11790,,
akciğer grafisi (COVID-QU-Ex),12517,0,2,paket,0.010852199979126453,1,8192,855600,3,2.567214,20889,,
akciğer grafisi (COVID-QU-Ex),12518,0,4,paket,0.010407099965959787,1,8192,855341,4,3.422952,25118,,
akciğer grafisi (COVID-QU-Ex),12522,0,0,paket,0.009965900098904967,1,8192,855941,2,1.711476,12793,,
akciğer grafisi (COVID-QU-Ex),12525,0,0,paket,0.010159599944017828,1,8192,856000,2,1.711476,9250,,
akciğer grafisi (COVID-QU-Ex),12541,0,0,paket,0.010207199957221746,1,8192,856209,2,1.711476,9620,,
akciğer grafisi (COVID-QU-Ex),12550,0,2,paket,0.010509500047191978,1,8192,855156,3,2.567214,16839,,
akciğer grafisi (COVID-QU-Ex),12557,0,4,paket,0.011454800027422607,1,8192,855948,2,1.711476,14097,,
akciğer grafisi (COVID-QU-Ex),12561,0,3,paket,0.010256299981847405,1,8192,855473,2,1.711476,14119,,
akciğer grafisi (COVID-QU-Ex),12564,0,2,paket,0.010328599950298667,1,8192,856237,2,1.711476,14363,,
akciğer grafisi (COVID-QU-Ex),12569,0,1,paket,0.00996970001142472,1,8192,855331,3,2.567214,17923,,
akciğer grafisi (COVID-QU-Ex),12575,0,2,paket,0.01028509996831417,1,8192,855507,2,1.711476,12188,,
akciğer grafisi (COVID-QU-Ex),12582,0,2,paket,0.010042699985206127,1,8192,856115,2,1.711476,9985,,
akciğer grafisi (COVID-QU-Ex),12614,0,4,paket,0.009946999954991043,1,8192,856065,2,1.711476,9329,,
akciğer grafisi (COVID-QU-Ex),12620,0,2,paket,0.00998750003054738,1,8192,855746,1,0.855738,8174,,
akciğer grafisi (COVID-QU-Ex),12622,0,3,paket,0.010349599993787706,1,8192,855434,3,2.567214,16543,,
akciğer grafisi (COVID-QU-Ex),12642,0,0,paket,0.010340700042434037,1,8192,855336,2,1.711476,14392,,
akciğer grafisi (COVID-QU-Ex),12673,0,2,paket,0.010134899988770485,1,8192,855997,3,2.567214,24418,,
akciğer grafisi (COVID-QU-Ex),12689,0,0,paket,0.010069799958728254,1,8192,856120,2,1.711476,14829,,
akciğer grafisi (COVID-QU-Ex),12744,0,4,paket,0.010249199927784503,1,8192,856121,3,2.567214,22197,,
akciğer grafisi (COVID-QU-Ex),12745,0,4,paket,0.010304800001904368,1,8192,855478,3,2.567214,16519,,
akciğer grafisi (COVID-QU-Ex),12750,0,3,paket,0.009882100042887032,1,8192,855091,2,1.711476,10434,,
akciğer grafisi (COVID-QU-Ex),12761,0,2,paket,0.009790800046175718,1,8192,856197,2,1.711476,11899,,
akciğer grafisi (COVID-QU-Ex),12766,0,3,paket,0.011065100086852908,1,8192,854719,3,2.567214,19546,,
akciğer grafisi (COVID-QU-Ex),12772,0,4,paket,0.009912400040775537,1,8192,855632,2,1.711476,11347,,
akciğer grafisi (COVID-QU-Ex),12785,0,3,paket,0.010173100046813488,1,8192,856272,2,1.711476,12243,,
akciğer grafisi (COVID-QU-Ex),12830,0,3,paket,0.01010299997869879,1,8192,855401,2,1.711476,14107,,
akciğer grafisi (COVID-QU-Ex),12831,0,4,paket,0.009987900033593178,1,8192,855255,2,1.711476,15377,,
akciğer grafisi (COVID-QU-Ex),12835,0,4,paket,0.009985500015318394,1,8192,855839,2,1.711476,10340,,
akciğer grafisi (COVID-QU-Ex),12840,0,1,paket,0.010050900047644973,1,8192,855242,3,2.567214,16925,,
akciğer grafisi (COVID-QU-Ex),12857,0,2,paket,0.010382600012235343,1,8192,856041,3,2.567214,19115,,
akciğer grafisi (COVID-QU-Ex),12864,0,1,paket,0.010337699903175235,1,8192,854899,2,1.711476,14079,,
akciğer grafisi (COVID-QU-Ex),12890,0,0,paket,0.010570700047537684,1,8192,855179,2,1.711476,14075,,
akciğer grafisi (COVID-QU-Ex),12902,0,2,paket,0.009980799979530275,1,8192,855798,2,1.711476,12673,,
akciğer grafisi (COVID-QU-Ex),12925,0,2,paket,0.010055299964733422,1,8192,856036,2,1.711476,15006,,
akciğer grafisi (COVID-QU-Ex),12927,0,1,paket,0.010050600045360625,1,8192,855318,2,1.711476,15898,,
