yon,gorus,tohum,auc,ci95_alt,ci95_ust,n_egitim,n_test,gizli_alan_test
COVID-QU-Ex -> Kaggle,tam,0,0.9902066703950378,0.9855051003285471,0.9940405178117341,3000,1497,0.0
Kaggle -> COVID-QU-Ex,tam,0,0.8772726707069702,0.8674958249919021,0.8869810192736469,1215,4393,0.0
COVID-QU-Ex -> COVID-QU-Ex (referans),tam,0,0.9791495036731918,0.9751876220382776,0.9825735436844092,3000,4393,0.0
COVID-QU-Ex -> Kaggle,baglam,0,0.9865867608927753,0.9811924229910896,0.991280850415536,3000,1497,0.23666344583034515
Kaggle -> COVID-QU-Ex,baglam,0,0.8255210083336445,0.8140815510601862,0.8377094574866073,1215,4393,0.23244811594486237
COVID-QU-Ex -> COVID-QU-Ex (referans),baglam,0,0.9644110033973392,0.9596804727521614,0.9689310876298677,3000,4393,0.23244811594486237
