veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
beyin MR (Cheng),2582,1,1,paket,0.018797699944116175,1,8192,855355,1,0.8558745,2650,,
beyin MR (Cheng),2611,1,3,paket,0.03192980005405843,1,8192,855880,1,0.8558745,573,,
beyin MR (Cheng),2718,1,0,paket,0.01993499998934567,1,8192,855918,1,0.8558745,5217,,
beyin MR (Cheng),2779,1,0,paket,0.018882600008510053,1,8192,855318,1,0.8558745,1825,,
beyin MR (Cheng),2989,1,3,paket,0.038430599961429834,1,8192,855967,2,1.711749,11110,,
beyin MR (Cheng),3031,1,4,paket,0.02790019998792559,1,8192,856090,3,2.5676235,20042,,
beyin MR (Cheng),3053,1,1,paket,0.02864509995561093,1,8192,856128,2,1.711749,14816,,
beyin MR (Cheng),66,0,3,yan_kanal,0.024917099974118173,1,8192,855362,1,0.8558745,2326,4.782543599954806,1380742.0
beyin MR (Cheng),77,0,2,yan_kanal,0.01989370002411306,1,8192,855531,1,0.8558745,7024,4.836678299936466,1377728.0
beyin MR (Cheng),184,0,4,yan_kanal,0.02064020000398159,1,8192,856151,1,0.8558745,2040,4.8054297000635415,1379444.0
beyin MR (Cheng),213,0,1,yan_kanal,0.024590700049884617,1,8192,855244,2,1.711749,9402,4.907599899917841,1379940.0
beyin MR (Cheng),294,0,3,yan_kanal,0.03411140001844615,1,8192,855621,1,0.8558745,3754,4.986681699985638,1380381.0
beyin MR (Cheng),322,0,0,yan_kanal,0.035581399919465184,1,8192,856182,1,0.8558745,2274,5.034640499972738,1379572.0
beyin MR (Cheng),577,0,2,yan_kanal,0.028920199954882264,1,8192,855970,1,0.8558745,342,4.8950776000274345,1378021.0
beyin MR (Cheng),590,0,1,yan_kanal,0.03297320008277893,1,8192,855790,1,0.8558745,4361,4.936734899994917,1379317.0
beyin MR (Cheng),790,1,1,yan_kanal,0.03381340007763356,1,8192,856063,1,0.8558745,6219,4.662110599922016,1379702.0
beyin MR (Cheng),1112,2,4,yan_kanal,0.025878799962811172,1,8192,855925,1,0.8558745,1724,4.76887359993998,1379314.0
beyin MR (Cheng),1263,2,0,yan_kanal,0.034849800053052604,1,8192,856137,1,0.8558745,1392,4.957345400005579,1378886.0
beyin MR (Cheng),1274,2,3,yan_kanal,0.023116800002753735,1,8192,855293,1,0.8558745,1543,4.99335250002332,1377914.0
beyin MR (Cheng),1495,2,1,yan_kanal,0.027601700043305755,1,8192,855236,1,0.8558745,3480,4.634061300079338,1378626.0
beyin MR (Cheng),1543,2,0,yan_kanal,0.03386820002924651,1,8192,855191,1,0.8558745,2945,4.422478799941018,1377068.0
beyin MR (Cheng),1714,2,3,yan_kanal,0.02973419998306781,1,8192,855466,1,0.8558745,1599,4.912843700032681,1379606.0
beyin MR (Cheng),1774,2,2,yan_kanal,0.04325220000464469,1,8192,855975,1,0.8558745,4271,4.8321322000119835,1380598.0
beyin MR (Cheng),1805,2,2,yan_kanal,0.030544999986886978,1,8192,855196,1,0.8558745,1187,4.907814500038512,1378563.0
beyin MR (Cheng),1921,1,3,yan_kanal,0.030546699999831617,1,8192,855203,1,0.8558745,4393,4.722617299994454,1377504.0
beyin MR (Cheng),2005,1,4,yan_kanal,0.03991880000103265,1,8192,855813,1,0.8558745,5863,4.916843199986033,1378218.0
beyin MR (Cheng),2025,1,0,yan_kanal,0.023518400033935905,1,8192,856092,1,0.8558745,1771,5.294271099963225,1380423.0
beyin MR (Cheng),2070,1,2,yan_kanal,0.02945879998151213,1,8192,855289,1,0.8558745,4753,4.929175800061785,1380868.0
beyin MR (Cheng),2427,1,1,yan_kanal,0.03384229994844645,1,8192,855928,1,0.8558745,4388,5.127752000000328,1379057.0
beyin MR (Cheng),2436,1,0,yan_kanal,0.02004640002269298,1,8192,855138,1,0.8558745,8152,4.5400866999989375,1379749.0
beyin MR (Cheng),2570,1,4,yan_kanal,0.025500799994915724,1,8192,856129,1,0.8558745,4661,4.837845199974254,1379556.0
