size,rho_hedef,rho,sifreleme_s,sunucu_s,cozme_s,toplam_s,toplam_std,ciphertext_sayisi,sifreli_slot,yukleme_MB,hiz_kazanci_toplam,hiz_kazanci_sifreleme
64,0.01,0.0087890625,0.012119266650794694,1.2051678999753979,0.01943793334066868,1.2367250999668613,0.01884605341060401,1,64,0.855487,1.5992489357997137,1.0257606354517181
64,0.05,0.0478515625,0.010761133336927742,1.4828568333371852,0.018462633326028783,1.5120806000001419,0.051042373383845784,1,256,0.855107,1.3080197576760206,1.1552190900068442
64,0.1,0.09765625,0.011384199994305769,1.5561683333362453,0.019887999980710447,1.5874405333112616,0.032139918043565106,1,512,0.855688,1.245924655755901,1.0919929961829589
64,0.25,0.25,0.011164000005616495,1.6699251333290401,0.02011836665527274,1.7012074999899294,0.01655725288950092,1,1024,0.855779,1.1626043854206531,1.113531588559104
64,0.5,0.494384765625,0.011364733334630728,1.6478253333480097,0.017076033322761457,1.676266100005402,0.04465729994500178,1,2048,0.856016,1.1799029402267478,1.0938634717496356
64,0.75,0.738525390625,0.011850100010633469,1.7622193000085342,0.019190600006065022,1.7932600000252326,0.14422887599340525,1,4096,0.855962,1.1029250080696429,1.0490600627651103
64,0.9,0.908447265625,0.012021466662796835,1.9439720666656892,0.02063699997961521,1.9766305333081011,0.029655791044979174,1,4096,0.855923,1.000607481605926,1.0341056552941235
64,1.0,1.0,0.012431466660927981,1.9465847666724585,0.018815066665410995,1.9778312999987975,0.030090095326989568,1,4096,0.85595,1.0,1.0
128,0.01,0.01031494140625,0.012306600013592591,1.4569205666775815,0.020436233336416382,1.4896634000275906,0.056299560919614335,1,256,0.855259,2.476146512892058,2.0423783438517473
128,0.05,0.05133056640625,0.012614566658157855,1.7493959666462615,0.0223022000088046,1.784312733313224,0.0534243873854882,1,1024,0.855243,2.0672524297419406,1.9925165909644995
128,0.1,0.09765625,0.012159133329987526,1.8183214000115793,0.021188033337239176,1.851668566678806,0.03463087976768771,1,2048,0.855801,1.992054571611185,2.0671484284343244
128,0.25,0.25,0.014376133331097662,1.9602264333322335,0.022439866656592738,1.9970424333199237,0.07346897763631112,1,4096,0.855309,1.847043794271913,1.7483653479922208
128,0.5,0.50543212890625,0.02227986668003723,2.6661000000118897,0.01742210000520572,2.7058019666971327,0.06797683046374557,2,8320,1.710647,1.3632279371368063,1.1281366138841333
128,0.75,0.75201416015625,0.026266399965000648,3.7656381333169215,0.020979766675736755,3.812884299957659,0.05420581319114363,2,16384,1.711639,0.9674106380312161,0.9569158083216033
128,0.9,0.89361572265625,0.02890053331308688,3.7376975333318114,0.01863206666894257,3.7852301333138407,0.04758938994778236,2,16384,1.711248,0.9744783549347843,0.8696979077138863
128,1.0,1.0,0.02513473335420713,3.6444517333293334,0.0190383666777052,3.6886248333612457,0.1831387083644271,2,16384,1.712083,1.0,1.0
256,0.01,0.01031494140625,0.010967500013066456,1.6016757000179496,0.01839324997854419,1.6310364500095602,0.13356136939332042,1,1024,0.855916,8.941516083172507,10.695304297112429
256,0.05,0.0495758056640625,0.012471400026697665,2.0077739999687765,0.019307500013383105,2.0395529000088573,0.004113098763104751,1,4096,0.855457,7.150556697959508,9.40557994829957
256,0.1,0.1001129150390625,0.013716300018131733,2.1056454999779817,0.01785639999434352,2.137218199990457,0.016691821297164677,1,8192,0.85597,6.823794898464833,8.551923613749269
256,0.25,0.25,0.027448700013337657,3.737220300012268,0.0211536499846261,3.785822650010232,0.07931949105767343,2,16384,1.711281,3.8522508839556067,4.2734537504993835
256,0.5,0.4998931884765625,0.05631965000065975,7.233564499998465,0.021398199984105304,7.31128234998323,0.06511428150952214,4,32768,3.423507,1.9947169254152144,2.0827677376715976
256,0.75,0.75201416015625,0.09397104996605776,11.92526029999135,0.023231150000356138,12.042462499957765,0.1882140060989479,7,49408,5.989557,1.211042895093277,1.2482647587815523
256,0.9,0.9010162353515625,0.10378415003651753,14.051811850018566,0.020854500005953014,14.176450500061037,0.005248288031274838,8,59392,6.845393,1.02874401811217,1.1302376131331884
256,1.0,1.0,0.11730075001833029,14.446449999988545,0.020187899994198233,14.583938650001073,0.010294414052696585,8,65536,6.843938,1.0,1.0
512,0.01,0.009922027587890625,0.014910199970472604,2.038270700024441,0.018725299974903464,2.071906199969817,,1,4096,0.856251,27.33575076946306,27.538289280269975
512,0.05,0.0495758056640625,0.024053499975707382,3.8473013999755494,0.020741700020153075,3.89209659997141,,2,16384,1.710836,14.551825743609818,17.070339053702398
512,0.1,0.1001129150390625,0.04937029996654019,7.006194400019012,0.018228799977805465,7.073793499963358,,4,26624,3.421675,8.006610809373159,8.316769399655763
512,0.25,0.25,0.10497899999609217,14.210680000018328,0.0241519000264816,14.339810900040902,,8,65536,6.843787,3.949641448892374,3.911271778439802
512,0.5,0.4998931884765625,0.2383038999978453,28.918963600008283,0.023891399963758886,29.181158899969887,,16,131072,13.694329,1.9408794453375413,1.7230158634300992
512,0.75,0.7486305236816406,0.327097799978219,41.67632040003082,0.018227199965622276,42.02164539997466,,24,196608,20.536893,1.3478080394280412,1.255286339562323
512,0.9,0.9010162353515625,0.378533500013873,51.51093290001154,0.01939989998936653,51.90886630001478,,29,237568,24.813047,1.0910874295103625,1.0847161479723701
512,1.0,1.0,0.4106014000135474,56.202304500038736,0.024205600027926266,56.63711150008021,,32,262144,27.381497,1.0,1.0
